estado;total_moradores;tipo_local;num_comodos;problemas_recentes;saude;peso;altura
Santa Catarina;3;Rural;8;Não;Boa;077.0;165
Santa Catarina;3;Urbano;9;Não;Regular;076.0;188
Rio de Janeiro;5;Urbano;5;Não;#N/D;;
Roraima;6;Urbano;3;Não;#N/D;;
Acre;4;Urbano;4;Não;Regular;067.0;156
Pernambuco;4;Urbano;8;Não;Muito boa;060.0;158
Rio Grande do Norte;;Urbano;;;#N/D;;
Mato Grosso do Sul;3;Urbano;7;Não;Boa;057.0;164
Espírito Santo;3;Urbano;2;Não;#N/D;;
Acre;;Urbano;;;#N/D;;
Bahia;5;Urbano;6;Não;#N/D;;
Paraná;3;Urbano;5;Não;#N/D;;
Alagoas;5;Urbano;7;Não;#N/D;;
Rio Grande do Norte;5;Urbano;9;Não;#N/D;;
Tocantins;;Rural;;;#N/D;;
Goiás;4;Urbano;6;Não;#N/D;;
Mato Grosso;5;Urbano;5;Não;#N/D;;
Amazonas;4;Urbano;5;Não;#N/D;;
Ceará;3;Urbano;7;Não;#N/D;;
Alagoas;3;Urbano;6;Não;#N/D;;
Tocantins;2;Urbano;5;Não;#N/D;;
Paraná;5;Urbano;8;Sim;#N/D;;
São Paulo;2;Urbano;5;Não;Regular;073.0;150
Maranhão;2;Rural;4;Não;Regular;055.0;
Rondônia;3;Rural;10;Não;#N/D;;
Rondônia;2;Urbano;6;Não;Boa;059.0;162
Paraíba;5;Rural;5;Não;#N/D;;
Mato Grosso;2;Urbano;4;Não;#N/D;;
Bahia;3;Urbano;5;Não;Regular;098.0;
Rio Grande do Sul;5;Rural;6;Não;#N/D;;
Pará;;Urbano;;;#N/D;;
Maranhão;3;Urbano;4;Não;#N/D;;
Acre;3;Urbano;4;Não;#N/D;;
Bahia;4;Rural;4;Não;#N/D;;
Goiás;6;Urbano;7;Sim;#N/D;;
Paraná;2;Rural;6;Não;#N/D;;
Paraná;2;Urbano;5;Não;Boa;081.0;175
Piauí;4;Urbano;7;Não;Boa;082.0;163
Paraná;;Urbano;;;#N/D;;
Ceará;5;Rural;8;Não;#N/D;;
Pará;6;Urbano;6;Não;#N/D;;
Ceará;3;Urbano;10;Não;#N/D;;
Paraná;5;Rural;12;Não;#N/D;;
Ceará;1;Rural;5;Não;Muito boa;067.0;155
Sergipe;1;Urbano;9;Não;Regular;071.0;162
Ceará;3;Urbano;6;Não;#N/D;;
Maranhão;8;Rural;5;Não;#N/D;;
Roraima;;Rural;;;#N/D;;
Mato Grosso;;Urbano;;;#N/D;;
Tocantins;5;Urbano;9;Não;Boa;054.0;159
Espírito Santo;;Urbano;;;#N/D;;
Sergipe;8;Rural;6;Não;#N/D;;
Maranhão;3;Rural;6;Não;#N/D;;
Mato Grosso do Sul;3;Urbano;4;Não;#N/D;;
Sergipe;2;Urbano;6;Não;#N/D;;
Maranhão;4;Rural;4;Sim;#N/D;;
Rio de Janeiro;5;Urbano;5;Não;#N/D;;
Paraíba;7;Urbano;9;Não;#N/D;;
Paraná;4;Urbano;10;Sim;#N/D;;
Maranhão;3;Rural;10;Não;#N/D;;
Amapá;3;Urbano;3;Não;#N/D;;
Goiás;;Urbano;;;#N/D;;
Mato Grosso;5;Urbano;6;Não;Boa;060.0;155
Paraná;3;Rural;9;Não;#N/D;;
Roraima;;Urbano;;;#N/D;;
Minas Gerais;6;Urbano;5;Sim;#N/D;;
Santa Catarina;;Urbano;;;#N/D;;
Alagoas;3;Urbano;5;Não;#N/D;;
Rondônia;5;Urbano;6;Não;#N/D;;
Pará;1;Rural;5;Não;Muito boa;090.0;
Rio Grande do Norte;5;Rural;12;Não;#N/D;;
Rio Grande do Norte;5;Urbano;5;Não;#N/D;;
Pernambuco;4;Rural;6;Não;#N/D;;
Distrito Federal;6;Rural;6;Não;Regular;084.0;172
Bahia;2;Urbano;8;Não;#N/D;;
Ceará;3;Urbano;16;Não;#N/D;;
Ceará;6;Urbano;9;Sim;#N/D;;
Rio Grande do Norte;2;Urbano;5;Não;Boa;064.0;154
Goiás;4;Urbano;6;Não;#N/D;;
Tocantins;4;Rural;6;Não;#N/D;;
Pará;8;Rural;5;Não;#N/D;;
Bahia;2;Urbano;4;Não;Regular;083.0;175
Ceará;4;Urbano;7;Não;Boa;083.0;173
Ceará;5;Rural;5;Não;#N/D;;
Roraima;2;Urbano;5;Não;#N/D;;
Espírito Santo;3;Urbano;6;Não;#N/D;;
Acre;5;Rural;4;Sim;#N/D;;
Maranhão;4;Urbano;6;Não;Boa;046.0;158
Ceará;6;Urbano;4;Não;#N/D;;
Bahia;5;Urbano;7;Não;#N/D;;
Piauí;2;Urbano;4;Não;Ruim;062.0;
Rondônia;4;Urbano;5;Não;#N/D;;
Espírito Santo;2;Rural;6;Não;#N/D;;
Amazonas;8;Urbano;5;Não;#N/D;;
Ceará;5;Rural;7;Não;#N/D;;
Maranhão;5;Urbano;8;Não;#N/D;;
Tocantins;6;Urbano;8;Não;#N/D;;
Mato Grosso;3;Urbano;5;Não;#N/D;;
São Paulo;3;Urbano;10;Não;#N/D;;
Paraíba;6;Urbano;7;Não;#N/D;;
Alagoas;;Urbano;;;#N/D;;
Goiás;3;Urbano;6;Não;#N/D;;
Rio Grande do Norte;7;Urbano;8;Não;#N/D;;
Minas Gerais;5;Urbano;6;Não;#N/D;;
Rio de Janeiro;4;Urbano;4;Não;#N/D;;
Sergipe;6;Rural;4;Não;#N/D;;
Mato Grosso do Sul;3;Urbano;4;Não;Boa;067.0;166
Tocantins;5;Urbano;6;Não;Boa;065.0;168
São Paulo;4;Urbano;8;Não;Boa;;160
Maranhão;3;Rural;5;Não;Regular;091.0;160
Minas Gerais;4;Urbano;6;Não;#N/D;;
Minas Gerais;6;Rural;7;Não;Boa;069.0;168
Tocantins;3;Urbano;5;Sim;#N/D;;
Bahia;;Rural;;;#N/D;;
Rio Grande do Norte;2;Urbano;6;Sim;Ruim;065.0;150
Distrito Federal;4;Urbano;7;Não;#N/D;;
Rio Grande do Norte;3;Urbano;8;Não;#N/D;;
São Paulo;3;Urbano;7;Não;#N/D;;
Amazonas;5;Urbano;6;Não;#N/D;;
Pará;5;Urbano;6;Não;#N/D;;
Goiás;5;Urbano;6;Não;Regular;058.0;160
São Paulo;6;Urbano;9;Não;#N/D;;
Rio de Janeiro;4;Urbano;6;Não;#N/D;;
Sergipe;4;Urbano;7;Não;#N/D;;
Roraima;4;Urbano;4;Não;#N/D;;
Roraima;3;Rural;5;Não;Boa;058.0;148
Bahia;3;Urbano;7;Não;#N/D;;
Amazonas;5;Urbano;6;Não;Boa;071.0;163
Ceará;1;Urbano;4;Sim;Ruim;078.0;154
Espírito Santo;3;Rural;6;Não;#N/D;;
Ceará;2;Urbano;13;Não;#N/D;;
Amazonas;7;Urbano;5;Não;#N/D;;
Bahia;9;Urbano;8;Não;#N/D;;
Pernambuco;;Rural;;;#N/D;;
Roraima;7;Rural;4;Não;#N/D;;
Ceará;3;Rural;5;Sim;#N/D;;
Rio Grande do Norte;3;Urbano;8;Não;#N/D;;
São Paulo;4;Urbano;8;Não;Regular;082.0;166
Minas Gerais;5;Rural;5;Sim;#N/D;;
Pernambuco;5;Rural;6;Não;#N/D;;
Pará;3;Urbano;4;Não;#N/D;;
Mato Grosso;3;Urbano;4;Não;#N/D;;
Alagoas;5;Urbano;5;Não;#N/D;;
Rondônia;4;Urbano;9;Não;Regular;048.0;148
Pará;;Rural;;;#N/D;;
Tocantins;4;Rural;7;Não;Regular;094.0;176
Bahia;4;Rural;7;Não;#N/D;;
Amazonas;4;Urbano;6;Não;Boa;063.0;156
Goiás;4;Urbano;5;Não;#N/D;;
Sergipe;3;Urbano;5;Não;#N/D;;
Espírito Santo;3;Urbano;5;Não;#N/D;;
Paraná;3;Rural;5;Não;#N/D;;
Pernambuco;4;Urbano;5;Não;#N/D;;
Pará;1;Rural;6;Não;Boa;045.0;
Amapá;8;Urbano;5;Não;#N/D;;
Pernambuco;;Urbano;;;#N/D;;
Ceará;5;Rural;6;Sim;Regular;068.0;
Pernambuco;2;Rural;6;Sim;#N/D;;
Maranhão;6;Rural;9;Não;#N/D;;
Pará;4;Rural;5;Não;Boa;096.0;169
Minas Gerais;3;Urbano;6;Não;#N/D;;
Distrito Federal;3;Urbano;10;Não;#N/D;;
Pará;;Urbano;;;#N/D;;
Acre;8;Rural;6;Não;#N/D;;
Pará;4;Urbano;5;Sim;#N/D;;
Paraíba;3;Rural;6;Não;Regular;075.0;187
Pará;3;Urbano;3;Não;#N/D;;
Amazonas;2;Urbano;5;Não;Boa;059.0;158
Rio de Janeiro;4;Urbano;5;Não;#N/D;;
Goiás;3;Urbano;6;Não;#N/D;;
Sergipe;2;Urbano;4;Não;Regular;076.0;170
Amapá;3;Urbano;5;Não;#N/D;;
Ceará;3;Rural;4;Não;#N/D;;
Rio Grande do Sul;2;Rural;7;Não;Muito boa;078.0;171
Bahia;12;Urbano;8;Não;#N/D;;
Mato Grosso do Sul;2;Urbano;6;Não;#N/D;;
Amazonas;3;Urbano;5;Não;Ruim;081.0;166
Espírito Santo;3;Urbano;7;Não;#N/D;;
Paraná;4;Urbano;4;Não;Boa;070.0;170
Amazonas;4;Urbano;5;Não;#N/D;;
Minas Gerais;4;Rural;4;Não;Boa;077.0;164
Pará;2;Urbano;5;Não;#N/D;;
Maranhão;5;Urbano;6;Não;#N/D;;
Rio Grande do Norte;6;Urbano;5;Não;#N/D;;
Pernambuco;3;Urbano;7;Não;#N/D;;
Minas Gerais;1;Rural;7;Não;Boa;060.0;167
Maranhão;4;Rural;5;Não;#N/D;;
Pará;3;Rural;4;Não;Regular;044.0;
Rio de Janeiro;3;Urbano;8;Não;#N/D;;
Rio Grande do Norte;5;Urbano;8;Não;#N/D;;
Santa Catarina;3;Urbano;6;Não;#N/D;;
Sergipe;5;Rural;8;Não;#N/D;;
Rondônia;2;Rural;6;Não;Boa;075.0;157
Piauí;6;Rural;9;Não;#N/D;;
São Paulo;3;Rural;6;Não;#N/D;;
Minas Gerais;5;Urbano;8;Sim;Regular;052.0;156
São Paulo;3;Urbano;4;Sim;#N/D;;
Goiás;3;Urbano;10;Não;#N/D;;
Rio de Janeiro;2;Urbano;4;Não;#N/D;;
Pernambuco;5;Rural;6;Não;#N/D;;
Minas Gerais;11;Urbano;9;Não;#N/D;;
Roraima;4;Urbano;3;Não;Boa;072.0;156
Minas Gerais;4;Urbano;9;Não;#N/D;;
Mato Grosso;5;Rural;5;Não;#N/D;;
Rio de Janeiro;4;Urbano;5;Não;Regular;070.0;158
Bahia;3;Urbano;4;Não;Muito boa;072.0;
Espírito Santo;2;Urbano;8;Não;Ruim;060.0;166
Maranhão;4;Rural;5;Sim;#N/D;;
Alagoas;;Urbano;;;#N/D;;
Acre;8;Rural;4;Não;#N/D;;
Ceará;6;Urbano;6;Não;#N/D;;
São Paulo;3;Urbano;6;Não;#N/D;;
Paraná;3;Rural;6;Sim;#N/D;;
Distrito Federal;3;Urbano;5;Não;#N/D;;
Rio Grande do Norte;3;Urbano;4;Não;#N/D;;
Distrito Federal;5;Urbano;7;Não;#N/D;;
São Paulo;4;Urbano;5;Não;#N/D;;
Rondônia;6;Urbano;6;Não;#N/D;;
Rondônia;4;Urbano;5;Não;#N/D;;
Ceará;4;Urbano;5;Não;#N/D;;
Minas Gerais;4;Rural;5;Não;#N/D;;
Santa Catarina;4;Rural;6;Não;#N/D;;
Mato Grosso;3;Urbano;5;Não;#N/D;;
Pernambuco;5;Urbano;5;Não;#N/D;;
Rio Grande do Norte;2;Urbano;5;Não;#N/D;;
Mato Grosso do Sul;4;Urbano;5;Não;#N/D;;
Paraíba;2;Urbano;5;Não;Boa;;159
Roraima;;Urbano;;;#N/D;;
Ceará;15;Urbano;6;Não;#N/D;;
Minas Gerais;3;Urbano;7;Não;Boa;080.0;168
Roraima;3;Rural;6;Não;#N/D;;
Acre;3;Urbano;5;Não;#N/D;;
Santa Catarina;1;Rural;5;Não;Boa;092.0;180
Maranhão;8;Rural;4;Não;#N/D;;
São Paulo;1;Urbano;4;Não;Muito boa;082.0;185
Paraná;3;Urbano;8;Não;Boa;062.0;155
Rio de Janeiro;4;Urbano;5;Não;#N/D;;
Roraima;;Urbano;;;#N/D;;
Pará;3;Urbano;5;Sim;Regular;060.0;154
Espírito Santo;4;Urbano;5;Não;#N/D;;
São Paulo;3;Urbano;4;Sim;#N/D;;
Paraná;4;Urbano;8;Não;#N/D;;
Rio Grande do Norte;3;Urbano;5;Sim;#N/D;;
Espírito Santo;4;Urbano;11;Não;Boa;071.0;172
Paraná;3;Urbano;10;Não;Regular;069.0;160
São Paulo;3;Urbano;6;Sim;#N/D;;
São Paulo;3;Urbano;2;Não;#N/D;;
Paraná;4;Urbano;7;Não;#N/D;;
Rio Grande do Sul;2;Urbano;5;Não;#N/D;;
Minas Gerais;3;Urbano;16;Não;#N/D;;
Maranhão;6;Urbano;6;Não;#N/D;;
Paraná;8;Urbano;6;Sim;#N/D;;
Tocantins;2;Urbano;4;Não;Muito boa;067.0;173
Mato Grosso do Sul;2;Rural;6;Não;#N/D;;
Amapá;8;Urbano;5;Não;Muito boa;061.0;166
Rio de Janeiro;4;Urbano;6;Não;#N/D;;
Ceará;2;Urbano;4;Não;#N/D;;
Mato Grosso do Sul;;Urbano;;;#N/D;;
Paraíba;5;Rural;5;Não;#N/D;;
Goiás;4;Urbano;5;Não;#N/D;;
Rondônia;4;Urbano;6;Não;#N/D;;
São Paulo;5;Urbano;4;Não;#N/D;;
Pernambuco;2;Urbano;10;Não;#N/D;;
Amapá;9;Urbano;6;Não;#N/D;;
Minas Gerais;5;Urbano;6;Não;#N/D;;
Espírito Santo;4;Urbano;6;Não;Boa;080.0;175
Goiás;4;Urbano;6;Não;#N/D;;
Santa Catarina;3;Urbano;6;Não;Regular;067.0;162
Rio de Janeiro;2;Urbano;7;Não;#N/D;;
Ceará;4;Urbano;4;Não;#N/D;;
Pará;8;Rural;5;Não;#N/D;;
Paraná;;Urbano;;;#N/D;;
Maranhão;7;Rural;4;Não;#N/D;;
Maranhão;6;Rural;4;Não;#N/D;;
Goiás;4;Urbano;8;Não;#N/D;;
Pernambuco;4;Rural;7;Não;#N/D;;
Sergipe;7;Urbano;6;Não;Boa;078.0;152
Pará;5;Urbano;4;Não;#N/D;;
Paraíba;4;Rural;5;Não;#N/D;;
Maranhão;4;Urbano;5;Não;#N/D;;
Minas Gerais;2;Urbano;8;Não;#N/D;;
Minas Gerais;2;Urbano;6;Não;#N/D;;
Sergipe;6;Urbano;5;Não;Regular;063.0;
Rio Grande do Norte;5;Rural;7;Não;#N/D;;
Tocantins;3;Urbano;4;Sim;#N/D;;
Sergipe;8;Rural;5;Não;#N/D;;
Maranhão;3;Urbano;5;Não;Boa;090.0;175
Pernambuco;2;Rural;6;Não;#N/D;;
Santa Catarina;2;Urbano;6;Não;#N/D;;
Goiás;1;Rural;4;Não;Regular;060.0;170
Santa Catarina;;Urbano;;;#N/D;;
Tocantins;;Urbano;;;#N/D;;
Mato Grosso do Sul;4;Urbano;5;Não;Muito boa;071.0;180
Rio de Janeiro;2;Urbano;5;Não;#N/D;;
Ceará;6;Urbano;3;Não;#N/D;;
Tocantins;2;Urbano;5;Não;Boa;044.0;
Amazonas;3;Rural;4;Não;#N/D;;
Distrito Federal;;Urbano;;;#N/D;;
Distrito Federal;4;Urbano;8;Não;#N/D;;
Bahia;5;Rural;5;Não;#N/D;;
Espírito Santo;4;Urbano;6;Não;#N/D;;
Minas Gerais;2;Urbano;8;Não;#N/D;;
Rondônia;5;Urbano;5;Não;#N/D;;
Ceará;4;Urbano;5;Não;#N/D;;
Rio de Janeiro;4;Urbano;6;Não;Boa;057.0;165
Rio Grande do Sul;2;Rural;8;Não;#N/D;;
Minas Gerais;3;Urbano;3;Não;Boa;085.0;150
Paraíba;8;Urbano;7;Não;#N/D;;
Alagoas;3;Urbano;6;Não;#N/D;;
Sergipe;;Urbano;;;#N/D;;
Amapá;3;Urbano;3;Não;#N/D;;
Pará;2;Urbano;9;Não;#N/D;;
Pará;6;Urbano;5;Sim;#N/D;;
Amazonas;5;Urbano;8;Não;Boa;080.0;170
Minas Gerais;;Urbano;;;#N/D;;
Rio Grande do Norte;4;Rural;5;Não;#N/D;;
Tocantins;1;Urbano;5;Não;Boa;069.0;163
Maranhão;11;Urbano;9;Não;Muito ruim;075.0;165
Rondônia;2;Urbano;3;Não;#N/D;;
São Paulo;4;Rural;8;Não;#N/D;;
Sergipe;2;Urbano;9;Não;Muito boa;097.0;168
Maranhão;3;Rural;4;Sim;#N/D;;
Minas Gerais;4;Rural;4;Não;Muito boa;057.0;167
Paraná;3;Urbano;9;Não;#N/D;;
Santa Catarina;2;Urbano;6;Não;#N/D;;
Sergipe;3;Urbano;5;Não;#N/D;;
Piauí;4;Rural;5;Não;#N/D;;
Espírito Santo;3;Urbano;8;Não;#N/D;;
Ceará;4;Urbano;10;Não;#N/D;;
Maranhão;4;Urbano;5;Não;#N/D;;
Mato Grosso do Sul;3;Urbano;6;Não;Muito boa;102.0;185
Piauí;2;Rural;4;Não;#N/D;;
Paraná;;Rural;;;#N/D;;
Rio de Janeiro;;Urbano;;;#N/D;;
Maranhão;3;Rural;4;Não;#N/D;;
Pará;3;Rural;6;Não;Muito boa;100.0;168
Maranhão;4;Urbano;10;Não;#N/D;;
Rio Grande do Norte;;Urbano;;;#N/D;;
Maranhão;3;Urbano;4;Não;Boa;;159
Maranhão;2;Rural;6;Não;Regular;;
Pernambuco;3;Urbano;8;Não;#N/D;;
Maranhão;2;Rural;5;Não;Regular;081.0;
Ceará;4;Urbano;10;Não;#N/D;;
Rio Grande do Norte;5;Rural;10;Não;#N/D;;
Tocantins;3;Urbano;7;Não;Boa;076.0;169
Alagoas;3;Urbano;5;Não;#N/D;;
Alagoas;5;Urbano;7;Não;Regular;105.0;163
Roraima;2;Urbano;4;Não;Boa;;165
Santa Catarina;4;Urbano;7;Não;#N/D;;
São Paulo;3;Urbano;4;Não;#N/D;;
Maranhão;4;Urbano;9;Não;#N/D;;
Mato Grosso;2;Rural;5;Não;Boa;;
Rio Grande do Norte;3;Urbano;5;Não;Boa;;173
Roraima;4;Urbano;4;Não;#N/D;;
Amazonas;3;Urbano;5;Não;Regular;075.0;159
Maranhão;7;Rural;6;Não;#N/D;;
Paraíba;3;Urbano;5;Não;#N/D;;
Rio Grande do Norte;4;Urbano;6;Não;#N/D;;
Distrito Federal;3;Urbano;6;Não;#N/D;;
Ceará;2;Urbano;5;Não;#N/D;;
Pará;2;Urbano;4;Não;Boa;069.0;179
Acre;1;Urbano;5;Não;Muito ruim;058.0;159
São Paulo;4;Urbano;5;Não;#N/D;;
Mato Grosso;2;Urbano;5;Não;#N/D;;
Rondônia;6;Urbano;6;Não;#N/D;;
São Paulo;5;Urbano;6;Não;#N/D;;
Santa Catarina;4;Urbano;7;Não;Regular;094.0;165
Sergipe;6;Urbano;8;Não;#N/D;;
Rio Grande do Sul;4;Urbano;7;Não;#N/D;;
Pará;3;Urbano;2;Não;#N/D;;
Alagoas;5;Urbano;5;Não;#N/D;;
Rio Grande do Sul;2;Urbano;10;Não;Boa;097.0;185
Minas Gerais;3;Urbano;8;Não;#N/D;;
Rio de Janeiro;3;Urbano;5;Sim;#N/D;;
Mato Grosso;2;Urbano;6;Não;#N/D;;
São Paulo;3;Rural;8;Sim;Ruim;;
Acre;3;Rural;6;Não;#N/D;;
Rio de Janeiro;7;Urbano;7;Não;#N/D;;
Rondônia;3;Rural;5;Não;Boa;098.0;170
Maranhão;5;Rural;5;Não;#N/D;;
Espírito Santo;;Rural;;;#N/D;;
Pará;5;Urbano;6;Não;#N/D;;
Maranhão;4;Urbano;6;Não;#N/D;;
Maranhão;6;Rural;6;Não;#N/D;;
Bahia;4;Urbano;7;Não;#N/D;;
Santa Catarina;3;Urbano;8;Não;#N/D;;
Roraima;3;Urbano;3;Não;Boa;064.0;162
Piauí;3;Rural;6;Não;#N/D;;
Ceará;1;Urbano;4;Não;Regular;065.0;155
Maranhão;3;Urbano;5;Não;#N/D;;
Pernambuco;3;Rural;7;Não;#N/D;;
Roraima;3;Urbano;5;Não;#N/D;;
Espírito Santo;;Urbano;;;#N/D;;
Minas Gerais;5;Urbano;6;Não;#N/D;;
Acre;2;Rural;5;Não;Regular;055.0;174
Alagoas;2;Urbano;4;Não;#N/D;;
Goiás;1;Rural;6;Sim;Ruim;096.0;170
Rio Grande do Sul;3;Urbano;8;Não;#N/D;;
Rondônia;3;Urbano;2;Não;Regular;074.0;170
Amapá;8;Rural;3;Não;#N/D;;
Mato Grosso do Sul;3;Rural;6;Não;Boa;058.0;168
Acre;4;Urbano;5;Não;#N/D;;
São Paulo;2;Urbano;5;Sim;Muito ruim;110.0;178
São Paulo;3;Urbano;7;Não;#N/D;;
Maranhão;1;Urbano;6;Não;Muito boa;056.0;
Rio Grande do Sul;2;Urbano;13;Não;#N/D;;
Amazonas;5;Rural;5;Não;#N/D;;
Alagoas;2;Urbano;5;Não;#N/D;;
Rio Grande do Sul;3;Urbano;5;Não;Boa;072.0;170
Rondônia;5;Urbano;6;Não;#N/D;;
Paraíba;3;Rural;6;Não;#N/D;;
Distrito Federal;1;Urbano;5;Não;Muito boa;063.0;170
Rio Grande do Norte;5;Urbano;4;Não;#N/D;;
Pará;;Urbano;;;#N/D;;
Santa Catarina;2;Urbano;11;Não;Boa;059.0;163
Paraná;3;Urbano;6;Não;#N/D;;
Pernambuco;3;Urbano;6;Não;#N/D;;
São Paulo;2;Urbano;6;Não;Regular;041.0;150
Paraíba;3;Urbano;5;Não;#N/D;;
Rondônia;6;Urbano;6;Sim;#N/D;;
Rondônia;1;Urbano;8;Não;Boa;052.0;150
Rio Grande do Norte;6;Urbano;6;Não;#N/D;;
Maranhão;4;Urbano;4;Não;#N/D;;
Acre;3;Urbano;5;Não;Muito boa;065.0;160
Paraíba;4;Urbano;5;Não;#N/D;;
São Paulo;5;Urbano;6;Não;Boa;;174
Rio Grande do Sul;2;Urbano;7;Não;Regular;074.0;170
São Paulo;3;Urbano;10;Não;#N/D;;
Acre;6;Urbano;6;Não;#N/D;;
Pará;9;Rural;1;Não;Regular;;
Amazonas;4;Urbano;3;Não;#N/D;;
Piauí;3;Urbano;6;Não;Regular;060.0;160
Paraíba;3;Urbano;6;Sim;#N/D;;
Espírito Santo;4;Urbano;10;Não;#N/D;;
Amapá;4;Urbano;7;Não;#N/D;;
Pernambuco;1;Rural;4;Sim;Boa;052.0;140
Amapá;6;Urbano;2;Não;#N/D;;
Bahia;4;Urbano;7;Não;Regular;066.0;158
São Paulo;4;Urbano;8;Não;#N/D;;
Mato Grosso;3;Urbano;6;Não;Boa;;166
Maranhão;5;Rural;5;Não;#N/D;;
Amazonas;7;Urbano;4;Não;#N/D;;
São Paulo;4;Rural;8;Não;#N/D;;
Bahia;3;Urbano;6;Não;#N/D;;
Rio Grande do Norte;2;Urbano;4;Sim;Regular;056.0;144
Mato Grosso do Sul;3;Urbano;6;Sim;Regular;081.0;162
Amazonas;4;Urbano;6;Não;#N/D;;
Rio Grande do Norte;7;Rural;7;Não;#N/D;;
Rio Grande do Sul;2;Urbano;6;Não;Muito boa;085.0;177
Bahia;;Urbano;;;#N/D;;
Paraíba;2;Urbano;7;Não;#N/D;;
Pernambuco;4;Urbano;7;Não;#N/D;;
Rondônia;5;Urbano;8;Não;Regular;047.0;150
Bahia;2;Rural;8;Não;#N/D;;
Goiás;4;Urbano;6;Não;Boa;085.0;170
Paraná;3;Urbano;4;Não;#N/D;;
Roraima;4;Urbano;9;Não;#N/D;;
Maranhão;4;Rural;5;Não;#N/D;;
Goiás;4;Urbano;8;Sim;#N/D;;
Acre;3;Urbano;4;Não;#N/D;;
Rio de Janeiro;2;Urbano;8;Não;#N/D;;
Maranhão;4;Rural;5;Não;Boa;;
Minas Gerais;4;Urbano;10;Não;#N/D;;
Tocantins;3;Rural;7;Sim;Regular;059.0;172
Ceará;5;Urbano;10;Não;#N/D;;
Minas Gerais;3;Rural;7;Não;#N/D;;
Tocantins;1;Rural;6;Não;Boa;063.0;158
Rio Grande do Sul;3;Urbano;11;Não;#N/D;;
Pernambuco;2;Urbano;6;Não;#N/D;;
Alagoas;5;Urbano;7;Não;#N/D;;
Tocantins;5;Urbano;4;Não;#N/D;;
Ceará;2;Urbano;5;Não;Regular;089.0;168
Acre;3;Urbano;3;Não;#N/D;;
Maranhão;2;Rural;4;Não;#N/D;;
Bahia;5;Urbano;5;Não;#N/D;;
Sergipe;5;Urbano;6;Não;#N/D;;
Maranhão;2;Urbano;5;Não;#N/D;;
Minas Gerais;4;Urbano;9;Sim;#N/D;;
Pernambuco;3;Urbano;7;Não;#N/D;;
Santa Catarina;3;Urbano;9;Não;Boa;094.0;165
Santa Catarina;4;Urbano;6;Não;#N/D;;
Amazonas;5;Rural;4;Não;#N/D;;
Minas Gerais;4;Urbano;7;Sim;Regular;080.0;162
Roraima;4;Urbano;5;Não;#N/D;;
Roraima;2;Urbano;8;Sim;#N/D;;
Distrito Federal;2;Urbano;5;Não;Boa;093.0;178
Acre;3;Rural;4;Não;#N/D;;
Minas Gerais;;Urbano;;;#N/D;;
Maranhão;8;Urbano;8;Sim;#N/D;;
Alagoas;2;Urbano;4;Não;#N/D;;
Mato Grosso;2;Urbano;4;Não;#N/D;;
Rondônia;4;Urbano;8;Não;#N/D;;
Piauí;4;Rural;5;Não;Regular;;
Goiás;2;Rural;6;Não;#N/D;;
Amazonas;4;Urbano;5;Não;Muito boa;080.0;165
Rondônia;4;Urbano;7;Não;Boa;078.0;
Pernambuco;2;Urbano;7;Não;#N/D;;
Pernambuco;7;Urbano;4;Não;#N/D;;
Distrito Federal;5;Urbano;8;Não;#N/D;;
Ceará;3;Urbano;3;Não;Boa;065.0;160
Pará;4;Rural;6;Não;#N/D;;
São Paulo;;Urbano;;;#N/D;;
Minas Gerais;2;Urbano;9;Não;Muito boa;077.0;178
Tocantins;4;Rural;5;Não;#N/D;;
Acre;1;Urbano;6;Não;Boa;079.0;160
Rio Grande do Sul;2;Urbano;4;Não;Muito boa;086.0;184
Piauí;1;Urbano;6;Não;Regular;065.0;154
Mato Grosso;2;Rural;4;Não;Regular;078.0;172
Pernambuco;2;Urbano;5;Não;#N/D;;
Piauí;4;Urbano;5;Sim;#N/D;;
Rio Grande do Sul;4;Rural;7;Não;#N/D;;
Ceará;4;Rural;7;Não;Regular;071.0;167
Rio Grande do Norte;8;Urbano;8;Não;#N/D;;
Alagoas;1;Rural;3;Não;#N/D;;
Amazonas;6;Urbano;5;Não;#N/D;;
Minas Gerais;4;Rural;6;Não;#N/D;;
Amazonas;4;Urbano;4;Não;#N/D;;
São Paulo;5;Rural;6;Não;#N/D;;
São Paulo;3;Rural;3;Não;#N/D;;
Rio Grande do Sul;3;Urbano;4;Não;Muito boa;068.0;161
Amapá;4;Urbano;6;Não;#N/D;;
Rio Grande do Norte;5;Urbano;6;Não;#N/D;;
Rio de Janeiro;3;Urbano;7;Não;#N/D;;
Mato Grosso;4;Urbano;7;Não;#N/D;;
Distrito Federal;6;Urbano;9;Não;Boa;057.0;160
São Paulo;4;Rural;5;Não;#N/D;;
Rio de Janeiro;4;Rural;6;Não;#N/D;;
Amapá;2;Urbano;4;Não;#N/D;;
Paraíba;2;Urbano;6;Sim;#N/D;;
Pará;2;Rural;4;Não;#N/D;;
Rondônia;4;Urbano;7;Não;#N/D;;
Pará;5;Urbano;3;Não;#N/D;;
Bahia;2;Urbano;5;Não;Boa;079.0;176
Pernambuco;4;Rural;6;Não;Boa;092.0;185
Rio Grande do Sul;2;Urbano;3;Não;#N/D;;
Tocantins;3;Urbano;5;Não;#N/D;;
Rio de Janeiro;2;Urbano;4;Não;Regular;050.0;157
